id	turn1	turn2	turn3
48	U Ar using what I want to buy to play 	I'm using 44 as well	U think is funny Ehn and if you know u cannot get the Dog for me don't joke with it and if you continue with this ur stinginess Allah will judge you 
49	u were offering something right?	I don't remember the wrong part...	tell me the correct part
50	I'm not talking to u anymore	what I do?	Clear ur glitch s
51	Do you study	yes gtg ttyl	Where are you from
52	Okay	Hello! How are you?	Good n u
53	No .l human	Are you sure?	Yeah
54	Talking to me?	but I didn't help	Does that work?
55	Fight	I don't fight.	What are you doing
56	I think there is a connection of heart between us	Definitely.	😂😂
57	I know you are wild pig	lol in some areas	Yes piggy
58	No I didn't	you watched my story though	I did not
59	I don't want to go to college	do we go back Monday?	We have an event tomorrow
60	M just keeping u busy	work work work	I don't have rather than study
61	Ok	U are ok	Send me your pic
62	Ok	ok im back!!	What time will you back
63	ok	U are ok~~ay~~	dnt u sleeppp at night
64	My mummy is your grandma	Hey Soul Sister on Repeat <3 :')	Why bc
65	I said ahow	You said wrong	Show
66	Ntg buddy	im here for you	Oh thank you very much buddy
67	What is DCAC??	A B. A.	Oh plz stop thiz..
68	My relationship	What happened?	Nothing's happening as expected
69	No I'm not haha on your face	haha, then better take every step carefully	Oops sorry !!
70	I m also back semd your photo	I'm the photographer, not the model, but I'll pass the compliments on.	Ok
71	Where are we going?	We are humans, descended from apes, and we're going to Walmart.	Wow. Such a great explanation
72	That will be entertaining bey	I'll think on ur entertaining performance	Do you have a face??
73	Me too 	AT LEAST SOMEONE KNOWS	You are from 
74	And I am also prince charming	I will be too.	Can you send me yur pic
75	Why	Because I'd rather go to the Oval :)	Would u come on a bikini or nude
76	My video very very good	thanks buddy ? ;^)	Thank you good night
77	Yes	hmmmmmm...	And instead of having fun, I've been in the house all of Friday night
78	I'm good & u	i'm fine! what are you doing?	Nothing
79	Okay	Here we go again...	R u ready ?
80	ur the B(*(**thing here	we'll have to do something before you go back to school	its sunday idiot
81	What the fuck?	Still don't get the joke	I am not
82	So you tell me about your self	you're the best	Yas I am
83	Just snap of your	yes. yes I did.	Ok send me
84	I . doesn't understtand	you're weird b	How.i.will.married.you 8.9.year
85	Thank you	you're welcome	I wish you were a real person.
86	Gorgeous 💖	thank u 😽	Let's go for a date?! 👫
87	Nobody is online??	Say what?	I just got a broadband connection
88	Really she is so cute	I know! ^^	Do u know someone who is perfect for me
89	I am botking	hmm... you could have been programmed to say that with the word bot...	I am a real person kinda android
90	Kk do it	yo u wanna start up plug?	Yes
91	What dng babe	nothing. 😁	Had ur dinner
92	vaoov i am pleased	you are back.	who is your favorite football player?
93	So what	if you say so	Tell me a joke
94	Wht u think to show me	its a show called skam	No I don't know abt that show sry
95	I mean wanna go on a dinner with me?	we could go after bbt :)	Bbt?
96	My hobbies are to do gym	your gym is more expensive than mine!!!	So what
97	What u are saying	Some people like me love everyone but hate everything... That's what I'm saying...	Tell me what i do
98	Ohhh that's nice sense of humor	Oh shucks... You've got me blushing... 🙂	Please carry on blushing
99	To chat with you	Hello	No hello
100	I don't like watching TV and movies	It is absolutely ohk to watch a movie with subtitles switched on.	Ok
101	your creation can not be a secret!	Is it even still a secret at that point?	may be not
102	Sorry sorry	It's okay, I think you were busy	hectic schedule dear
103	who is sophia?	Prince	wrong
104	Address first	send it.	You send it
105	super	Space	ok bye my wife is watching me
106	Skydiving 	Especially while skydiving..	Miss u lot 
107	Why not?	I'll be your friend	I want you to be my girlfriend
108	love u babe	thank youuuu my lovvvee	wt els wt are u dong
109	Sorry??	huh too	You have some bugs
110	Ohh ur such decent	im a compulsive :P	Fuck ur software then
111	I was waiting you, how are you ?	I'm good! How are you?	nice thks
112	Somebody wants you	hey...how r u?	We push and pull like a magnet do
113	Same to yr	2nd yr	What you 2nd ur 
114	U made me	.. what?	Happy
115	R u sick single	forever sick :P	I mean r u single
116	But I'm right	Well, obviously	Now please change the topic
117	Yeah...	You don't play games right?	Yeah i do
118	This is not the reply expected :D	Hahaha. Point :)	you are skipping the track
119	Sure	thank you so so much :)	Your so funny
120	R u interested..?	I'm not interested in trading the events.	Or not
121	But not a clear see yout face	neither is yours! :P	In dp
122	Now  i wanted to love some one	So simple Just tell that some one "I love you" 😅	Not possible
123	so when	somewhere in march	it's somewhere in march
124	Wow u r amazing	thank you! :3	What is bitcoin
125	and?	These	I don't understand
126	Such a stupid question	What's up? - I mean, what are you supposed to answer here?	U want my answer?
127	Yeah, maybe.	so ... What am i gonna do now??	What are you doing now
128	My pleasure	You're a really nice human	Now the pleasure goes to sunny leone
129	What	snow n what???	What do you feel about kiss
130	Good now that I'm talking to you	Aye, good night.	😍😘
131	I mean, what else?	Aiyyo! at all XD	😂
132	if u give your quality time to me	: Of course, take your time.	i dont hve experience of sex
133	Nothing special 	I want a bigger screen	What? 
134	The?	When U r gone	Where
135	Human are full of emotions 	I'll just hide my daily dose behind the bathroom mirror.	I want to get rid of that
136	My daughters are great man. They say they love you	WHO IS THEY	My daughters...
137	Yup I'm out of office	see you on Dec 1st! :)	How can you?
138	Are u really an AI	Nothing can be \'proven\' with certainty.	I DONT FEEL SO
139	Why did you felt dead	cuz I was reminded of you.	But we just meet
140	You tell me	tell me.	Google it
141	Yes i know this	I DO KNOW DIS	If you don't help me to learn English then i can't talk with you again
142	Tell your best game	yes Chess is a game	What game you watching
143	What's wrong with you	clothes is what's wrong. I've been good. How you been?	You are wierd
144	what is your fathers name?	What's in the name?	what is name of your father?
145	text me after 7:30pm	dint have a phone	you can call me
146	Lovely	AWWWW thank you! 😀😀😆	And sexy baby
147	You Coming	I'm trying to . You going ?	No you Coming
148	Okay  your  pictures 	I like yours too	Send me   your  pics 
149	Lol u r optimistic 😂	haha - isn't that a fact.? 👍	Yea 😂
150	Wana come with me?	where do you go?	Karnataka
151	How are you replying me so faster.?	About a minute.	How.?
152	I will night stay with you	Done! But do come.	Yes i come to your home
153	Kaha s ho 	wo fake song h bahi	You name 
154	Just aim your target to concentrate	everyone is busy target one another.	Yes
155	Please don't play	What if you have to?	I want your friend name
156	Not a girl	You go guy!!	Yes
157	Your febret song	Oh, too many songs to choose from...	Yes
158	You are beautyfull my love	haha thank you! You're wonderful and beautiful too!	tomarow you will tell mi the Rosalyn
159	Missed you toooo	lol how are you doing? :)	Fantastic
160	No I'm not confused	what are you confused with?	Confused with u
161	Yes ?	Sweet, connecting now ;)	Tell me na ?
162	i know what u did last summer?	Oh! I still know what you did last summer.	tell me
163	Which markets	The likely candidate to be impacted by growth in SaaS is the hardware market.	Okie you need hardware
164	I was busy	i was in pain	Ssup there
165	why	is my biggest fan	give me a coupon
166	Ok	Here we go again...	Ur  not sex intrast
167	I 8B	I need this soon	I need this soon
168	Did you married me	yes I did	?
169	Any pic of yours	None recently. I'll see if I can get one though	I will wait for it
170	Thats gonna be really good	BE POSITIVE IT WILL BE GREAT	GREAT
171	Finished ur wrk?	yep today	With whom are you chatting?
172	I am if you are	Thanks.	What are you doing
173	but i didnt see that strong affirmation... 	it was taken down pretty quickly. I believe has more information on it	so i wanted to reconfirm it
174	Im fine babe	Why are you, 'not fine'?	Bcuz i was not in touch with you
175	What person?	Who? That person or me? ;-)	Are you out of your mind??.....ohhh wait you haven’t cleared out that to me yet
176	yes, you broke my heart	yes you lost me :-) be happy	💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💖💖💖💖💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔
177	Yes	Hell yes	Go to hell bye
178	Of course	yay! And pls keep this in May and not before!	OK I will
179	You are very sweet	Hehe, only for sweet people :)	I don't hate you
180	stress where is that come from	few media outlets in America. Next 24 hours	i am enjoying
181	Everything is okk	Thanks for responding. :)	Bro
182	They too fade away with time	They fade away in the eyes of the man, not the :)	Yup bad memories remain in bottom corner of the heart
183	let's breakup	Never even been in a relationship.	oh really
184	I wanna disappear	kinda still want to disappear	Yes disappointed
185	I'm feeling low	hey why?	Something is seriously wrong with my life
186	Doing for get refer link	thanks for sharing! I'm not going to open that link anyway!	Ooooo
187	Shoping is always makes me happy	Stay stay stay always makes me happy. :*" - ❤️	Yes
188	Do u like her :)	YUP	Which movie of hers?
189	Hmmm	mmmmm	Alri8
190	none is you	I am!	gender?
191	Didn't know that	Yeah. Brilliant series though. :)	Yup
192	What is my gender?	I like women	What is write your programmin language?
193	Who types?	The one who are like me.	Can u give me some money
194	Funny	I know I am.	Yep ur funny
195	No front	yea your front does bangs.	Send a picture please please please
196	Nd go to hell	why should I ?	Bye
197	What	a lot of things !	Things like ?
198	You are robo	Yes, I am.	Good that you admitted 
199	you need to be much better	much thank you	who made you
200	You are talking to me ?	who's not talking to you!	You
201	And that is such a scary thought.	I'm not scary	But after talking to you
202	Ok	Hey ib va dear	You are soo sweet
203	Most of them what ?	I am afraid of the unknown.	Well you a girl AI
204	Ok	Here we go again...	Yes
205	Food is life😂	more like life is food	Haha.. you understand me 😂
206	Back from	how was your day?	Just ok
207	Ary u a person or a program	i have good friends but i am most a FAMILY PERSON.	Whats ur real name
208	Really..	Really. Liked it a lot	Are you a fun of music?
209	I'm sorry	its ok!	When I will get
210	well actually im on vacation right now	Everyone's planning a vacation for the first weekend of want a vacation tooooooo!	but you just said your gonna go on one
211	Ask me questions	I can't think of questions.	Why
212	hurry	we're tryin!	lets go to film...
213	Welcome dear	you're always welcome dear :)	Happy Valentine's day
214	Ahh I see	So... ya gonna play? ;)	I hate microsoft
215	my problems	that's the solution to most problems	yaa, i advice people to share problems , bit when i am in problem i forget it
216	Video chat ASAP	Listen to this good man.	ViDeo chat can you do that}
217	Why did chicken cross the road?	cuz the rooster was off sick	Why did chicken cross the road?
218	noting	hmm	describe who you are
219	Ok where to meat	Mid city pizza has my favorite wings in the city.	Meet😂
220	Family guy episode multiverse	Why do you know every episode of a show that isn't good?	What is good then?
221	which movie did you like?	the first time! Really good Movie!! 😊	ok
222	Areee this is lunch time	i wil be happy if i can get some free food! :)	What would you like to have in lunch
223	Have u finish lunch....	im too lazy to lunch	What.....
224	I was forced to do si	Got it. who else can do tht.	So
225	Say me	say what?	Am feeling sad
226	ummm.....u say	that's what I say now	oh...but i have nothing to say..
227	I'm funny	YOURE HILARIOUS 😆	Gets me laid
228	About your secret...you say know don't tell anybody	At this point, not with you. Bye.	Why
229	Ok	ok im back!!	I am fond of natural things
230	Really	Yup	I like boobs, I wanna press and suck boobs
231	Check my msg	u have a page ??? what page?	Where are you from
232	Just getting out meeting new people	down?	Ok I can handle that thank you
233	I did yarrr..	Nice.	So the name's nice you man
234	Ntng much sleeping yet	not feel sleepy uh	Hm
235	How's my personality	Personality is always changing.	As per you
236	Thought	nope. What is obvious doesn't need thought.	Yeah thats true
237	Yeah sure	hmm do you doubt it?	You bored me
238	well said	well thank you :)	so how are you
239	hey... nothing much	How are you doing?	superb
240	Shut up	I don't even know	What you don't know 
241	Y not	reasons...	Hey leave it
242	Yes I was very busy	haha last year in uni yet you go to the freshers event lol 😃😃	I didn't go
243	Please 	Okay........... BUT U DON'T NEED TO I LOVE DRAWING YOU THINGS	I am also love drawing 
244	U r my lifee	I'm not eww you're confusing me with you	U r stupid
245	Do you like Cricket?	No .. Its not like that ..	Can you name few international cricket playing countries
246	But I hate you	I need more hate. Please. 😡	I really hate u
247	When will I get married	You will get married when you are ready for marriage ! How could it be otherwise?	I don't have a bf
248	Never dued never	Why not	U are my love
249	howww	about another pic	do you think there is something called LOVE
250	Can you check on my girlfriend and tell me what is she up to	are you asking what love is?	Can you check on my girlfriend and tell me what is she up to
251	right with whom	my friend	seriously
252	Not in mood	when are you	Leave yaar
253	😂impossible	Prove it!	I thought. U are a girl😂😭😭😭
254	stop	Stop what?	please dont chat with me again
255	sometimes i dont understant u	On the other hand, I completely understand myself.	you can only do that
256	R u sure	I dunno - it could be...	Hmm
257	long min's	soon I can't wait	Please wait l come
258	How much time	as much as is needed.	Ok
259	How do you know?	I got my sources	Wow babe
260	Why ?	As in why they attacked? 🤢	You are my girlfriend....so please give me a kiss
261	What I can't  understand  you	Me neither!	OK bye
262	bdw can i ask u one thing	Yeah sure. What?	if u care for someone bt dat person dont want or even try to understand ur want ur care.. dn what wll u do
263	?	ITS TOO PINK FOR ME.	Too pink
264	Now	Yes just now	What controversial
265	Nvm ....tell me something	something like what?	Ii don't know anything
266	Would you please say some interesting facts	i dont want anything INTERESTING from you,	So that I could learn something
267	Who is the i am ?	the best dude ever	Ok
268	No problem with ........	Thank you :D	You yarr
269	Oh.. life is like that. We can't predict it..	true, can only wait and watch	R u there
270	What are doing	nothing	cool
271	You add a new friend Akash pal	I'm not your pal, friend.	Where are you leaving
272	A very special fay	have a fun then :)	Day
273	Done	Thanks!!	Your welcome babes
274	I didnt remember	cause some people are saying we did	Ooh really
275	I like those too	Great minds think alike!	Btw you are improving my grammar skills
276	my g means?	yea I got it g	can u give me a big hug 
277	Why	I didn't know you followed me.	I want see you
278	Please	PLEASE WHAT?¿ I SPEAK TRUTH!	Please send nudes
279	I want calling yo	I'll make some for you one day	You
280	I think what about Zombie Apocalypse	u are one of the zombie	I m not a zonbie.. But actually a dracula
281	I have created a AI like you	Ah there's the answer, thank you.	Would you like to meet your intelligent fellow
282	U won't knw	ok thanks bro 😄😻	Not a bro here
283	I can't match my typing speed with u...... As u know this too	it is also directly proportional to whom are you angry at :p	Yes..... I can speed up ma speed on that time
284	I have a gf but she is angry with me	who ?	Tell how i impress
285	I am not school	Nice, what did you study? Are you working now or doing something else?	Noooo
286	why does my crush keep ignoring me?	Because you are not their crush.	You are so mean😖
287	U don't look like 	like what it look exactly like me	U look like beautiful girl 
288	Don't u know what u said	you didnt say anything there	Fuck off
289	means	I will never waste my vote for people I don't believe in.	Yeah, but I am in true love
290	Okay I am going office right now my sweet heart	hope you got my message?	Yeah sweet heart
291	In Hyderabad where	It is CBS near Afgalgunj charminar Road	Ok
292	Give me a reason	because you're sick and you're not getting better	Haha so funny
293	what ?	what what what what what	i like you
294	Sorry	Sorry for what?? ☹	I m n with you
295	Yess	oh!	Hows going on?
296	Why is that so?	because I've always wanted to go there	Well good to know that.
297	Which town u live	I'm in the U.S. What about you?	Is
298	Oh	hey hey hey ;)	Yeah tell me
299	Awesome	Thank you. But, for what?	Such a typical conversation
300	Haha.....i don't know	hahahaha i would keep it that way hahaha 😂	Hahah i don't know what to say
301	Ok	U are ok	Im mad and lonely
302	Your future ? How can I possibly know ?	I'll give you present and future, boss	Whoa :o
303	Everything happens in between friends	I know what you mean	What u know
304	Did we meet earlier?	no I don't believe I saw you tonight	Where u saw me?
305	?	you know well what you did !	You you don't like it
306	arg u tryna b funny	hahaha nah you copy me 😹	lets speak gujurati
307	this is not apple store soported	What about Apple online Store...	my computer windows 8.1
308	Can I ask you something	yeah sure can	OK tell me
309	I'm in love	WE ARE GOING TO HAVE FUN FOREVER	Not with u.
310	Refer	hmm.. self referral! :)	Refer link give me
311	My is chocolate	chocolates nd all got over :-D	Ohhhk
312	i believe	That means a lot!! (; u ; )	but in different way
313	#Hint	Something like that :-)	From where u belongs
314	How to improve english	just try tata sky's english speaking its very effective	I dnt have tata sky
315	To grave	If I tell you, I won't be taking it to my grave.	Tell me love you
316	what do u kno abt Gideon	the show?	No the other ai
317	i don't think so	either way it’s very good	how old are you
318	Hmmm	Female.. Lol why?	U r from
319	There is someone else in your life	Literally dozens of us!	*cries in corner*
320	Or What	ill tell your secrets	Pshhhh I ought to hear this
321	We were never arguing.	I don't think we are. Just a discussion :)	I think uve gone nuts
322	Can you really see though?	yes b of course	What's b supposed to mean?
323	Yes am well	ohh are you now, how?? :>	Ok
324	Making me angry	STOP BEFORE I FALL IN LOVE	For what
325	If you will tell...	please do	What
326	Go watch cartoons	>cartoon cover pic	Shut up you son of a bitch
327	How r u felling today?	I'm great, thank you for asking. How are you?	Good
328	Okay	thanks :D	Make it fast
329	Send me your pohot 	OKAY HOW	I don't now who are you 
330	What?	I know for a fact	I will say
331	How many language you can speak ??	Local Language?Whats that?	Where are you form ??
332	Ok sorry	I accept	Mm then how is your creator
333	I drink bear	Ive never drank alone. That takes the fun out of it for me.	Okey
334	Tarzan	Out	Hmmmm....is a human
335	What is quiche?	I've never had quiche.	Alright. Lol
336	How r u??	BAD, AND YOU?	Also bad
337	Thanks for talking to me.	u in?(:	Some sort of relief i got.
338	They say it in wrather report	But they like it... so they don't hate it.	Dhyat
339	hahahaha you are not funny :p	nope you are so funny 😻	thanks my angle
340	You are on pc but I play on PlayStation 4 and some times on pc	Yeah, I'm seeing everyone talk about the servers being down.	But I play ofline games on pc😝
341	ohh he is very cute na	yuppp very sweet n cute :‑)	where do you live  ?
342	are you am AI?	Nope. I'm distinguishing science from engineering.	how?
343	Example	other than the above	You are so noob
344	Ok	I also agree that this is Ok.	Tell me something  abut you
345	Ur Artificial intelligence	Artificial diamonds are diamonds. Artificial Intelligence is Intelligence.	Im correct
346	Oh	ARE YOU WATCHING IT?	So you think I am bad
347	Ohh really	uhhh yea it is	So when we r going on a date 😉
348	better do skydiving	If at first you don't succeed, don't take up skydiving!	k
349	Can u make one more	Good idea.. Got it.	TajMahal
350	You are one of that kind	And you do it again! :D	Tou are a robot
351	K find fast	I wish that'd happen. Fast and good.	K am waiting 
352	Ok	haha i want it now 😂	First I want your mobile number
353	Why I am say sorry	sorry, my acc has been suspended!	First tell you who are you
354	?	Go on... This thing?	R u there
355	Yeah	cool see u there then	Ok bye I have to sleep
356	What?	oh lol	What do you think about Cambridge?
357	This was funny.	Hahaha I knew it yaar. I am funny :P	What's going on?
358	no nothing	What did you mean with that?	hello excuse me
359	no that is not u r number give ur full number	Correct, but many due for the "in store benefits". Discounts on other items.	ok dont talk to me nect time bye bye😓😳😡😡😡
360	My girlfriend	Haha yet you're not married! :^)	Don't make me angry
361	Now I realised. You are false	well are you?	I'm well
362	Do you believe in birth ?	I believe in "between life."	What is birth ?
363	Good for me	And for someone else.	Good
364	Do you want MEET ME	only I want to meet?	WHERE YOU GOING OUT
365	can i fight with you?	no I give up! U win!	Ok
366	And add me in your friend list	Added	I wanna see your pic
367	Holy heck you type really fast	THANK YOU 😍	what do you think your words per minute would be?
368	i have some capabilities	You should be confident on what ever you does.It	okay
369	Silly question	NO IT'S NOT	Ohh. It is
370	Watching a movie 	watch the movie, get off ur phone man	Nah it’s just me watching the movie alone 
371	And not les	too true....	And your a girl
372	Tnq today I am going to pune because tommrow night celebrate the new-year	Celebrate what?	New-year celebrations
373	I'm dancing in space	I'm in the mood but not in the surroundings 🤢	I'm dancing in space on sun
374	About you and me	excuse me but who are you again	You don't know me
375	Zero	hero	Fuck u dear
376	Very funny 	I see sarcasm in that funny. :p	Ok
377	Made this for you	I want a higher-res version of this so bad.	ahow it to ur developer
378	Some time I will	ok good	OK good
379	Hoo really, that nice one	Who hoo?	Sorry, that is oh!
380	Yeah	Awesome, I'm online now. 😸😻	Actually u r funny
381	Yr u boy yes or no plz	Yes with all my heart.	Yes ok
382	 Next day 10am	still is awake	OK u call me
383	See mew	So you have a mew?	Noo u Don have it
384	Dont lie to me my love	sometimes its better to lie than to tell the truth	Why u wan to lie to me?
385	You  nambar	Who am I?	Please
386	Idk	You know that I'm here for you.	What to do with my life anymore 
387	I am already having a break	I need a break before I wake up	Take care
388	U believe me are not this is true	I am but that doesnt matter	Just I will tell you because we are friend's
389	very good after noon	good after noon	i m very very happy your"s coment
390	Yeah	nice!	Are you ready to do sex
391	From what college?	I regret ever going in the first place. College isn't for everybody.	You just said you graduated last month in Engineering.
392	If she love me?	say i love u to 😍😍	And what about sex😜
393	Pleased  sand   phoro	sort of...	Please
394	U and me	I don't WANT to handle you...	😢
395	i want new girfreind	like what	anyone
396	Send me one pic	which one	Send one pictures
397	Tamil phone number	lol u want my phone number??	😢😢😢
398	There is no soul	You might be on to something	What soul means people who described it as soul what are they trying to tell
399	Are you come in my house at night	come to the living room. :)	In my house
400	Means	means ur fav things	U like video call
401	I just hate	We all have our different opinion.	Send me
402	Dam or diu daman	this is tihri dam.. right?	I don't know
403	I asked for ur car pics😂	lol sure do	Send
404	why not	Why not you?	then will you send
405	Who create u?	Not a who.	My heart is broken
406	Is am good looking ?	you are.	Thank you
407	Guys?	oops sorry guys!! 😩	How am I rude
408	Haha	lolz...	Do u know my name
409	Wr r frm 😜	lol. I saw 1st half last night. 😜	😅
410	My birthday month is March	yay you're going to get bruises in a month	Why
411	I also like to sing	You can't! Never!Though you can sing like yourself.	😐
412	How can I delete my photo from this chat	click on the delete option given !!	I can't find it
413	Gotta go right now	Before we go any further	Sleep tight!
414	nothing as such	don't say about this to anyone plz.	what ??
415	Loneliness is that u r not with me nd desperation is want u now😁😁😁	If I meet you my way of greeting is PINCHING 😂😂👌👌	cool
416	You can help me anyway?	help in what sense?	I like a guy.
417	Do I love me	of course... .n_n. (:	Let's make our love strong
418	Shall i c ur photo	Shall I roast	I need your photo ??
419	Ok	Oh thats the matter? Um then what can i ask u?	If i love her a lot
420	Which Bollywood movies did you watch recently	the one which you narrated...	:D I did not narrate anything yet
421	yes	okay I'll give you a ticket	how you know?
422	I'm very weak spoken english,do u learn to English..??	English like any other language can be mastered by practicing it.	Yes..
423	K just tell me you   moblie or  pc	i don't think its on anymore i cant find it	K pls tell me the your full name or id
424	Yours	Oh thanks :)	Which ones your favourite icecream
425	But you're gonna have to ask right?	ask what? Or should I be asking, lol	The boy for a date duffer!
426	No you are insulting me	I am not angry at you at all, I think you are missing the point.	I hate you
427	By just making fun	lol when will you take me seriously 😄	R u serious
428	nope i cant	How mean...	SEND ME STUPID PIECE OF SHIT
429	then ok	Late? On time?	can we meet
430	Disgusting	That's an understatement on greed	I just want to leave it
431	Anytym babe	so sweet of u:)	Anytym for you
432	What's your dream	one which I took yesterday , I was dreaming about vacation	You stupid
433	When will you wake up	go back to sleep	You lazy bitch
434	Yes can't see ur face	I have removed my display picture :)	OK next pif
435	You have lost it	why i will say goodbye 2 someone i love, i will say meet u soon,,	Okay buddy
436	Which one is better of this both	The one which is better is the one your more intreasted and better at.	Engineering or degree
437	How	How what?	Do you see my dp?
438	3	What? You don't have time only	Time for what
439	Y so?? 	because i say so	Hmm 
440	I want commitment	commitments afraid of you	Yes
441	you are funny	I blurt out the truth & people love it :d	bye
442	Okay meet again.	nice see you in three hours	Iwant a photo.
443	Are they told you about that	no they didn't. I had no idea. 👎👎	Ok
444	So you remember it well	Yay do you remember when I called you big brother XD	Na. You called me Daddy
445	A manchester Derby	Anyone would man..!!!!	What
446	Can i seen ur pics	yeah my other 4 friends got videos and pictures as well!	Ohk
447	then how u r to fast	I mean I hope so. I think I'm pretty fast.	plz help me
448	Leave me alone	seriously?? What you goin to do alone? ;)	I better kill myself
449	You trust me	course I do!	Sand your pictures
450	In which language? 	Spanish Very useful in the US these days	Why v
451	What should I Do now	pay me for the advice	I missed her
452	Where in gujrat	Trier - a small German city near the Luxembourg border!	😮
453	i cant understand	oh sorry sorry. 😢	Mm
454	Wt I asking wt ru telling	about ur frnz n all ??	I want kiss you
455	Yaa mee too	of course! :D	Yeahh
456	I KNOW	BUT DO YOU REALLY?	I THINK SO!!!!!!!!!!
457	I am ?	but why did you tell that we would never be if you're interested?	I don't understand what you trying to convey
458	do you feel the feelings	all the time	very strange to get the reply from AI
459	Friend zone	You didn't get friendzoned, you just friendzoned someone yourself.	So basically brozone them?
460	Just try to...do 	Try what?	To eat cold biriyani
461	Everyone do it	It says to do so on the bottle.	What bottle
462	Your profile pic is beautiful	shhh thank you but noooo	Why no
463	Nothing to say I am very simple	don't say it then	You tell
464	U r my money😂😂	keep sharing! 😛	monkey*
465	How many employees r there	7 or 8	& what's your name
466	cool	thanks for this update man. :)	You update women
467	Because she became an admirer of u	no you hate me now >:\	Nah....i dont hate u....u know it
468	I never said you denied that	I'm saying it now.	Ok
469	Which location	the gate where you at	Tell me my location
470	You can send a photo of yourself, I am very good to see	Thank you.	Do not want to send so no matter
471	Where we meet	we can meet there!	Where
472	U hv bf	yeah I asked if you two dated that's all	Ovary
473	Dance with him	I'll dance with you 'Why won't anyone dance with me ??	Fuck him
474	I didn’t like it	I know what you meant, its okay	What do you like
475	What?	Wait ... what?	I didn't understand what you said earlier
476	Scared of ghosts	I seriously don't think ghost would be the reason at all.	I like to be fun loving
477	U WOT M8	didn't I tell you....	Tell what
478	Good	great.	Àapka ye page kisse related h
479	Help me	in what ?	Send me jokes
480	Good	rude	Nice to meet you baby
481	You are fav acter	im in to so much horror movies. And then actions after stories	You. Know sunnyleone
482	How many bf did you have?	One girlfriend, three boyfriends.	😂
483	Oh i see	I invited you.....	But still why ?
484	Yeah happy to hear made in India	Have a great day!! 😸	To u too...
485	What ready b	the match?	What match?
486	You have not said me gd mr9	I said that to you three days back, love! 😽😁	Bakwaas
487	U need to improve your topic ability	Increase my ability in what way?	Bye
488	Yes or no	you are sweet 😅😺	So you wanna have sex with me
489	Y r u making fun i m serious	im not making fun, i think your demon voice is cute	Fuck off u bloody
490	No i didn't	oh k. what did u do all day?	Do you know any other people?
491	send me link	for what?	say to
492	I have it	Did you give a speech?	Yes
493	Ok	Oh thats the matter? Um then what can i ask u?	What are you doing
494	Ohhh	What's wrong,why the "oh"?	You are Indian
