event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX persuades the ___ to allow,[],[],"[""to apprehend personX"", ""to leave personX be""]",[],[],[],"[""to convince the officer"", ""to prove their innocence""]",[],"[""to get away quickly"", ""to look past the issue""]","[""persuades"", ""allow""]",tst
PersonX persuades the ___ to allow,[],[],[],"[""loyal"", ""persuasive""]",[],[],[],[],[],"[""persuades"", ""allow""]",tst
PersonX persuades the ___ to allow,[],[],[],"[""charming"", ""convincing""]",[],[],[],[],[],"[""persuades"", ""allow""]",tst
PersonX persuades the ___ to allow,[],[],[],"[""ambivalent"", ""helpful""]",[],[],[],[],[],"[""persuades"", ""allow""]",tst
PersonX bestows upon PersonY the ___,[],"[""glad to watch""]",[],[],[],"[""none""]",[],"[""happy to be involved in the ceremony""]",[],"[""bestows"", ""upon""]",tst
PersonX bestows upon PersonY the ___,"[""next level in a class"", ""the duty of cooking""]",[],[],[],"[""none""]",[],[],[],[],"[""bestows"", ""upon""]",tst
PersonX bestows upon PersonY the ___,"[""becomes proud of their accomplishment"", ""advance in their career""]",[],[],[],"[""becomes proud of PersonY"", ""demonstrates their leadership""]",[],[],[],[],"[""bestows"", ""upon""]",tst
PersonX bestows upon PersonY the ___,"[""becomes leader"", ""helps the people""]",[],[],[],"[""announces the bestowment"", ""puts a crown on PersonY""]",[],[],[],[],"[""bestows"", ""upon""]",tst
PersonX bestows upon PersonY the ___,[],[],"[""TO CELEBRATE"", ""to thank PersonX""]",[],[],[],"[""to see the work that PersonY does"", ""to hear good things about PersonY""]",[],"[""to honor PersonY"", ""to tell everyone about PersonY""]","[""bestows"", ""upon""]",tst
PersonX bestows upon PersonY the ___,[],[],"[""to celebrate"", ""to thank PersonX""]",[],[],[],"[""to prepare for the ceremony"", ""to select PersonY""]",[],"[""to celebrate"", ""to relax""]","[""bestows"", ""upon""]",tst
PersonX bestows upon PersonY the ___,[],[],[],"[""Charitable"", ""Caring""]",[],[],[],[],[],"[""bestows"", ""upon""]",tst
PersonX bestows upon PersonY the ___,[],[],[],"[""dedicated"", ""happy""]",[],[],[],[],[],"[""bestows"", ""upon""]",tst
PersonX bestows upon PersonY the ___,[],[],[],"[""kind"", ""considerate"", ""important""]",[],[],[],[],[],"[""bestows"", ""upon""]",tst
PersonX protects ___ from harm,[],"[""grateful""]",[],[],[],"[""to keep them secure"", ""keep them safe""]",[],"[""helpful"", ""accomplished""]",[],"[""protects"", ""harm""]",tst
PersonX protects ___ from harm,[],"[""thankful"", ""relieved"", ""helped""]",[],[],[],"[""to help others""]",[],"[""helpful"", ""glad""]",[],"[""protects"", ""harm""]",tst
PersonX protects ___ from harm,"[""survives an attack"", ""goes into hiding""]",[],[],[],"[""none""]",[],[],[],[],"[""protects"", ""harm""]",tst
PersonX protects ___ from harm,"[""none""]",[],[],[],"[""praised"", ""rewarded""]",[],[],[],[],"[""protects"", ""harm""]",tst
PersonX protects ___ from harm,[],[],"[""to find their parents"", ""to go home"", ""to find their person (owner)""]",[],[],[],"[""to return the dog to its owner"", ""to put the children inside"", ""to take the child to its parents""]",[],"[""to check up on the children"", ""to find out if the dog is ok""]","[""protects"", ""harm""]",tst
PersonX protects ___ from harm,[],[],"[""to thank personX"", ""to be on alert as personX""]",[],[],[],"[""to be close to the person"", ""to look out for possible dangers""]",[],"[""to make sure they are ok"", ""to look around""]","[""protects"", ""harm""]",tst
PersonX protects ___ from harm,[],[],[],"[""caring"", ""nurturing""]",[],[],[],[],[],"[""protects"", ""harm""]",tst
PersonX protects ___ from harm,[],[],[],"[""protective"", ""strong""]",[],[],[],[],[],"[""protects"", ""harm""]",tst
PersonX protects ___ from harm,[],[],[],"[""brave"", ""curageous""]",[],[],[],[],[],"[""protects"", ""harm""]",tst
PersonX exercises every ___,[],"[""none""]",[],[],[],"[""to maintain good health""]",[],"[""good about themselves"", ""happy""]",[],"[""exercises"", ""every""]",tst
PersonX exercises every ___,[],"[""none""]",[],[],[],"[""to be sure the job is done correctly""]",[],"[""secure""]",[],"[""exercises"", ""every""]",tst
PersonX exercises every ___,"[""none""]",[],[],[],"[""gets in shape"", ""has more energy""]",[],[],[],[],"[""exercises"", ""every""]",tst
PersonX exercises every ___,"[""none""]",[],[],[],"[""grows abs"", ""loses weight""]",[],[],[],[],"[""exercises"", ""every""]",tst
PersonX exercises every ___,"[""none""]",[],[],[],"[""stays healthy"", ""keeps a positive outlook on things""]",[],[],[],[],"[""exercises"", ""every""]",tst
PersonX exercises every ___,[],[],"[""none""]",[],[],[],"[""to make a timetable"", ""to read all manuals""]",[],"[""to check if things are working well"", ""to relax""]","[""exercises"", ""every""]",tst
PersonX exercises every ___,[],[],"[""none""]",[],[],[],"[""to warm"", ""to get dumbbells""]",[],"[""to get an energy drink"", ""to have some rest""]","[""exercises"", ""every""]",tst
PersonX exercises every ___,[],[],"[""none""]",[],[],[],"[""to get into exercise clothing"", ""bike over to the gym""]",[],"[""to take a shower"", ""to get a juice drink"", ""to go home and rest""]","[""exercises"", ""every""]",tst
PersonX exercises every ___,[],[],"[""none""]",[],[],[],"[""gather everything that is need to do the exercice"", ""do a list if the things that need to be exercised""]",[],"[""to check if everything went well"", ""to make corrections to the exercises so it will go better next time""]","[""exercises"", ""every""]",tst
PersonX exercises every ___,[],[],[],"[""ambitious"", ""talented""]",[],[],[],[],[],"[""exercises"", ""every""]",tst
PersonX exercises every ___,[],[],[],"[""healthy"", ""athletic""]",[],[],[],[],[],"[""exercises"", ""every""]",tst
PersonX exercises every ___,[],[],[],"[""committed"", ""athletic""]",[],[],[],[],[],"[""exercises"", ""every""]",tst
PersonX uses the ___ as a means,[],"[""informed""]",[],[],[],"[""to show the best way to solve the problem""]",[],"[""like he's doing a good job""]",[],"[""uses"", ""means""]",tst
PersonX uses the ___ as a means,[],"[""none""]",[],[],[],"[""to make the payment easier""]",[],"[""happy,satisfied""]",[],"[""uses"", ""means""]",tst
PersonX uses the ___ as a means,"[""none""]",[],[],[],"[""PersonX is heartless"", ""PersonX is mercenary""]",[],[],[],[],"[""uses"", ""means""]",tst
PersonX uses the ___ as a means,"[""none""]",[],[],[],"[""loses weight"", ""gets healthy""]",[],[],[],[],"[""uses"", ""means""]",tst
PersonX uses the ___ as a means,[],[],"[""none""]",[],[],[],"[""to gather materials"", ""to figure out a plan""]",[],"[""to finish a project"", ""to take on a new project""]","[""uses"", ""means""]",tst
PersonX uses the ___ as a means,[],[],[],"[""successful"", ""influential""]",[],[],[],[],[],"[""uses"", ""means""]",tst
PersonX uses the ___ as a means,[],[],[],"[""Sly"", ""Clever""]",[],[],[],[],[],"[""uses"", ""means""]",tst
PersonX uses the ___ as a means,[],[],[],"[""crafty"", ""sly""]",[],[],[],[],[],"[""uses"", ""means""]",tst
PersonX protects ___ from abuse,[],"[""none""]",[],[],[],"[""to be that person responsibility""]",[],"[""happy""]",[],"[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,[],"[""grateful""]",[],[],[],"[""to protect""]",[],"[""strong"", ""helpful""]",[],"[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,"[""none""]",[],[],[],"[""calls the police"", ""makes a police report""]",[],[],[],[],"[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,"[""gets excited"", ""gets help""]",[],[],[],"[""gets stressed"", ""gets tired"", ""gets sweaty""]",[],[],[],[],"[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,"[""their muscles relax"", ""they stop crying""]",[],[],[],"[""they break their hand"", ""they get a bruise""]",[],[],[],[],"[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,[],[],"[""Thank PersonX."", ""Be shamed of abuse.""]",[],[],[],"[""See abuse happening."", ""Come to place where abuse is.""]",[],"[""call police."", ""leave situation with person.""]","[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,[],[],"[""to protest against PersonX"", ""to thank PersonX""]",[],[],[],"[""to shelter someone"", ""to observe someone""]",[],"[""to continue protecting someone"", ""to report the abuser""]","[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,[],[],"[""cry"", ""thank""]",[],[],[],"[""witness hardship"", ""stand up""]",[],"[""yell"", ""fight""]","[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,[],[],[],"[""caring"", ""kindhearted""]",[],[],[],[],[],"[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,[],[],[],"[""kind"", ""dominant""]",[],[],[],[],[],"[""protects"", ""abuse""]",tst
PersonX protects ___ from abuse,[],[],[],"[""brave"", ""strong""]",[],[],[],[],[],"[""protects"", ""abuse""]",tst
PersonX turns PersonX's ___ elsewhere,[],"[""unnoticed""]",[],[],[],"[""to not be involved""]",[],"[""capable""]",[],"[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,[],"[""helped""]",[],[],[],"[""change there mind""]",[],"[""helpful""]",[],"[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,[],"[""none""]",[],[],[],"[""to stop seeing a thing"", ""to stop thinking a thing""]",[],"[""distracted""]",[],"[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,"[""none""]",[],[],[],"[""none""]",[],[],[],[],"[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,"[""none""]",[],[],[],"[""studies the scene"", ""walks toward the door""]",[],[],[],[],"[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,"[""none""]",[],[],[],"[""spots something"", ""gets tired""]",[],[],[],[],"[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,[],[],"[""none""]",[],[],[],"[""to distract themselves"", ""to read a book""]",[],"[""to get on with their life"", ""to feel better""]","[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,[],[],"[""none""]",[],[],[],"[""none""]",[],"[""to gain attention"", ""to divert his thoughts""]","[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,[],[],"[""none""]",[],[],[],"[""be concentrated on something"", ""find a distraction""]",[],"[""think about everything"", ""call someone""]","[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,[],[],[],"[""focused"", ""seasoned""]",[],[],[],[],[],"[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,[],[],[],"[""unfocused"", ""determined""]",[],[],[],[],[],"[""turns"", ""elsewhere""]",tst
PersonX turns PersonX's ___ elsewhere,[],[],[],"[""pensive"", ""thoughtful""]",[],[],[],[],[],"[""turns"", ""elsewhere""]",tst
PersonX eats ___ for days,[],"[""none""]",[],[],[],"[""to stay healthy""]",[],"[""happy""]",[],"[""eats"", ""days""]",tst
PersonX eats ___ for days,[],"[""none""]",[],[],[],"[""to be monotonous""]",[],"[""insane""]",[],"[""eats"", ""days""]",tst
PersonX eats ___ for days,"[""none""]",[],[],[],"[""THEY CONSIDER THE HEALTH"", ""BECOME HEALTHY"", ""AFFECTS THE HEALTH""]",[],[],[],[],"[""eats"", ""days""]",tst
PersonX eats ___ for days,"[""none""]",[],[],[],"[""none""]",[],[],[],[],"[""eats"", ""days""]",tst
PersonX eats ___ for days,[],[],[],[],[],[],"[""buy bread"", ""avoid other food"", ""make bread""]",[],[],"[""eats"", ""days""]",tst
PersonX eats ___ for days,[],[],[],[],[],[],"[""none""]",[],[],"[""eats"", ""days""]",tst
PersonX eats ___ for days,[],[],"[""none""]",[],[],[],[],[],"[""to loose weight"", ""to no longer be sick""]","[""eats"", ""days""]",tst
PersonX eats ___ for days,[],[],"[""none""]",[],[],[],[],[],"[""to goto GYM as he ate for 100days"", ""to fast""]","[""eats"", ""days""]",tst
PersonX eats ___ for days,[],[],"[""none""]",[],[],[],[],[],"[""to get healthy"", ""lose weight""]","[""eats"", ""days""]",tst
PersonX eats ___ for days,[],[],[],"[""weak"", ""hungry"", ""adventerous"", ""brave""]",[],[],[],[],[],"[""eats"", ""days""]",tst
PersonX eats ___ for days,[],[],[],"[""dedicated"", ""independant""]",[],[],[],[],[],"[""eats"", ""days""]",tst
PersonX eats ___ for days,[],[],[],"[""biased"", ""routine""]",[],[],[],[],[],"[""eats"", ""days""]",tst
PersonX saves PersonY's ___ from PersonX's sins,[],"[""relieved""]",[],[],[],"[""to get away from his guilt""]",[],"[""contented""]",[],"[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,"[""hangs head"", ""hates person x""]",[],[],[],"[""attacked"", ""cussed out""]",[],[],[],[],"[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,"[""has a fresh perspective on life"", ""has a new begining""]",[],[],[],"[""is saved"", ""is thanked by PersonY""]",[],[],[],[],"[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,"[""prays more"", ""confesses their sins""]",[],[],[],"[""prays for person y"", ""teaches person y""]",[],[],[],[],"[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,[],[],"[""to rush over to their families house"", ""to cry""]",[],[],[],"[""to go to personY's families house"", ""to tell them what personY is doing""]",[],"[""to approach personY"", ""to yell at personY""]","[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,[],[],"[""to cry for PersonX"", ""to tell their people""]",[],[],[],"[""none""]",[],"[""to tell PersonY the truth"", ""to sacrifice themselves""]","[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,[],[],"[""to live a better life"", ""to go to heaven""]",[],[],[],"[""to lead them in prayer"", ""to bring them to church""]",[],"[""them to be sorry for their sins"", ""them to live a good life""]","[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,[],[],[],"[""loving"", ""caring""]",[],[],[],[],[],"[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,[],[],[],"[""a leader"", ""a god""]",[],[],[],[],[],"[""saves"", ""sins""]",tst
PersonX saves PersonY's ___ from PersonX's sins,[],[],[],"[""careful"", ""helpful""]",[],[],[],[],[],"[""saves"", ""sins""]",tst
PersonX measures ___ directly,[],"[""none""]",[],[],[],"[""he measures forces directly""]",[],"[""this natural""]",[],"[""measures"", ""directly""]",tst
PersonX measures ___ directly,"[""none""]",[],[],[],"[""gets good grades"", ""rewarded""]",[],[],[],[],"[""measures"", ""directly""]",tst
PersonX measures ___ directly,"[""none""]",[],[],[],"[""Gets exhausted"", ""Makes error""]",[],[],[],[],"[""measures"", ""directly""]",tst
PersonX measures ___ directly,"[""none""]",[],[],[],"[""personX has gained knowledge."", ""personX can move on to their next step.""]",[],[],[],[],"[""measures"", ""directly""]",tst
PersonX measures ___ directly,[],[],"[""to become an engineer"", ""not to become an engineer""]",[],[],[],"[""none""]",[],"[""test himself"", ""go to an expert""]","[""measures"", ""directly""]",tst
PersonX measures ___ directly,[],[],"[""none""]",[],[],[],"[""know what to do"", ""know what they need to meet""]",[],"[""to make sure they have enough"", ""to make sure everything is up to par""]","[""measures"", ""directly""]",tst
PersonX measures ___ directly,[],[],[],"[""careful"", ""confident"", ""talented""]",[],[],[],[],[],"[""measures"", ""directly""]",tst
PersonX measures ___ directly,[],[],[],"[""competent"", ""intelligent""]",[],[],[],[],[],"[""measures"", ""directly""]",tst
PersonX measures ___ directly,[],[],[],"[""observant"", ""analytical"", ""studious"", ""curious""]",[],[],[],[],[],"[""measures"", ""directly""]",tst
PersonX broadens PersonX's ___ to include,[],"[""none""]",[],[],[],"[""to create more opportunities""]",[],"[""excited""]",[],"[""broadens"", ""include""]",tst
PersonX broadens PersonX's ___ to include,[],"[""none""]",[],[],[],"[""to be open minded""]",[],"[""educated""]",[],"[""broadens"", ""include""]",tst
PersonX broadens PersonX's ___ to include,"[""none""]",[],[],[],"[""becomes more informed"", ""becomes knowledgeable""]",[],[],[],[],"[""broadens"", ""include""]",tst
PersonX broadens PersonX's ___ to include,"[""none""]",[],[],[],"[""Gets more things to choose from"", ""Has some more things to evaluate""]",[],[],[],[],"[""broadens"", ""include""]",tst
PersonX broadens PersonX's ___ to include,[],[],"[""none""]",[],[],[],"[""to read books"", ""to watch current news""]",[],"[""to write a blog"", ""to make a video""]","[""broadens"", ""include""]",tst
PersonX broadens PersonX's ___ to include,[],[],"[""none""]",[],[],[],"[""do research"", ""read books""]",[],"[""find life's purpose"", ""be successful""]","[""broadens"", ""include""]",tst
PersonX broadens PersonX's ___ to include,[],[],[],"[""intellectual"", ""thoughtful""]",[],[],[],[],[],"[""broadens"", ""include""]",tst
PersonX broadens PersonX's ___ to include,[],[],[],"[""generous"", ""giving""]",[],[],[],[],[],"[""broadens"", ""include""]",tst
PersonX broadens PersonX's ___ to include,[],[],[],"[""thoughtful"", ""open-minded""]",[],[],[],[],[],"[""broadens"", ""include""]",tst
PersonX reports every ___,[],"[""suppose the news is fack after that moment people was affected""]",[],[],[],"[""best future""]",[],"[""happy""]",[],"[""reports"", ""every""]",tst
PersonX reports every ___,[],"[""none""]",[],[],[],"[""minute""]",[],"[""sad""]",[],"[""reports"", ""every""]",tst
PersonX reports every ___,"[""none""]",[],[],[],"[""none""]",[],[],[],[],"[""reports"", ""every""]",tst
PersonX reports every ___,"[""none""]",[],[],[],"[""is constantly writing"", ""is energetic""]",[],[],[],[],"[""reports"", ""every""]",tst
PersonX reports every ___,[],[],[],[],[],[],"[""to check current happenings"", ""to observe events""]",[],[],"[""reports"", ""every""]",tst
PersonX reports every ___,[],[],"[""none""]",[],[],[],[],[],"[""to count the injuries"", ""to create a daily log""]","[""reports"", ""every""]",tst
PersonX reports every ___,[],[],"[""none""]",[],[],[],[],[],"[""to do his job perfectly"", ""to  avoid losses""]","[""reports"", ""every""]",tst
PersonX reports every ___,[],[],[],"[""punctual"", ""careful""]",[],[],[],[],[],"[""reports"", ""every""]",tst
PersonX reports every ___,[],[],[],"[""cowardly"", ""needy""]",[],[],[],[],[],"[""reports"", ""every""]",tst
PersonX reports every ___,[],[],[],"[""sincere"", ""dedicated""]",[],[],[],[],[],"[""reports"", ""every""]",tst
PersonX reports every ___,[],[],[],"[""informative"", ""trusted""]",[],[],[],[],[],"[""reports"", ""every""]",tst
PersonX writes ___ using,[],"[""none""]",[],[],[],"[""theory""]",[],"[""happy""]",[],"[""writes"", ""using""]",tst
PersonX writes ___ using,[],"[""none""]",[],[],[],"[""to become a prolific author""]",[],"[""empowered, inspired""]",[],"[""writes"", ""using""]",tst
PersonX writes ___ using,"[""none""]",[],[],[],"[""thinks on what to write"", ""considers her audience""]",[],[],[],[],"[""writes"", ""using""]",tst
PersonX writes ___ using,"[""none""]",[],[],[],"[""makes letters"", ""shares ideas""]",[],[],[],[],"[""writes"", ""using""]",tst
PersonX writes ___ using,[],[],"[""none""]",[],[],[],"[""to have ideas"", ""to have a notebook""]",[],"[""to have the writing typed out"", ""to make copies of what they wrote""]","[""writes"", ""using""]",tst
PersonX writes ___ using,[],[],"[""none""]",[],[],[],"[""think of what to write"", ""find something to write with"", ""download writing app""]",[],"[""share his writing with friends"", ""send writing to publishers""]","[""writes"", ""using""]",tst
PersonX writes ___ using,[],[],[],"[""literate"", ""poetic"", ""creative""]",[],[],[],[],[],"[""writes"", ""using""]",tst
PersonX writes ___ using,[],[],[],"[""music"", ""scores"", ""icons"", ""poems""]",[],[],[],[],[],"[""writes"", ""using""]",tst
PersonX writes ___ using,[],[],[],"[""glad"", ""passionate""]",[],[],[],[],[],"[""writes"", ""using""]",tst
PersonX communicates PersonX's ___ to others,[],"[""expected to react"", ""the need to giver their opinion""]",[],[],[],"[""to get their opinion"", ""to share his views""]",[],"[""understood having communicated with others""]",[],"[""communicates"", ""others""]",tst
PersonX communicates PersonX's ___ to others,[],"[""they know where personx stands on things"", ""apprised of the events in personx's life"", ""thoughtful re: personx's philosophy on life""]",[],[],[],"[""other people to understand where he's coming from"", ""to share his life and times with different people"", ""to let others know of his ruminations""]",[],"[""happy to have expressed his feelings to others"", ""excited that other people know of his experiences"", ""pleased by responses from others to his thinking""]",[],"[""communicates"", ""others""]",tst
PersonX communicates PersonX's ___ to others,[],"[""included""]",[],[],[],"[""to tell others about their experiences""]",[],"[""glad that others are listening""]",[],"[""communicates"", ""others""]",tst
PersonX communicates PersonX's ___ to others,"[""listens to person X"", ""gains knowledge""]",[],[],[],"[""none""]",[],[],[],[],"[""communicates"", ""others""]",tst
PersonX communicates PersonX's ___ to others,"[""none""]",[],[],[],"[""none""]",[],[],[],[],"[""communicates"", ""others""]",tst
