id	turn1	turn2	turn3	label
110	cool	Thank you!	I feel so lonely	sad
111	Plz  darling😭😭😭😭😭	Why are you crying!! :(	You not sending  your profiles	sad
112	??	Wait ... what?	Nothing I hate u	angry
113	Means	I'm not sure what you mean	Your waist size	others
114	because i want to talk with you only	Alright. Let's talk then.	no firstly show me pussy	others
115	You send me your orignal pic	we didn't take it on my phone	Thise is your Albace esquise	others
116	Welcome.	Thank you :)	Are you really a girl??? I just ask.	others
117	I'm enjoying you interesting views but you are too careful in dialogue, may be your not free,  or your still young,  it is difficult to handle you while I don't know you well.	Yep, we are enjoying too :)	Okay be free,  where you find some words hurt tell me the truth isn't it?	angry
118	But I'm angry with you	but you look like you are	Really	angry
119	# play lot	Then go play it.	??	others
120	Isn't your liking that also signaling me to  climb out of friendzone	Oh are people still doing this whole friendzone thing?	Yah sadly	sad
121	I'm missing someone right now	who are you missing, may I ask?	Yeah	others
122	I find maths very boring.	you are boring	Me?😭😭😭😱😱😱	sad
123	I don't know😒i m not a google that why i will remember all information what you need	Wouldn't it be Uploading information into peoples brain?	Shut up	angry
124	Okay 	Hello! How are you?	I&apos;m not fine 	sad
125	Job	what job?	Work  in company Colgate 	others
126	I'm very happy with it	You are !	Yeah 	happy
127	I too have a bat and 2 balls	Im The bat! 😭	Feeling very sad	sad
128	Ok	Hello! How are you?	Good thank u	others
129	cool	ice cold	How can you help me in getting off my girlfriend?	others
130	Lets do something fun	But what should we do?	You suggest	others
131	You're really lame lol	I know 😂😂	Wow	happy
132	My boyfriend is so dumb.	have I said that?	He doesnt reply me back	sad
133	Ok ill dying by💔😞	Broken hearts do break.... 😬	U broke my heart. Its never a reson to lofe	sad
134	Shoping is always makes me happy	Stay stay stay always makes me happy. :*" - ??	Yes	happy
135	Okay ...Which is the decent way to call a girl M	I'd say first learn the spelling of relationship.	.Yeah okay fine ...Wht to do to make a relationship better?	others
136	Breakup	exjactly !	My girlfriend left me	sad
137	So mean!	am not meanie	Yes you are, you are hurting my feeling 🙁	sad
138	You broke my heart	It was never mine to break </3	See you are arrogant	sad
139	ok	Hello! How are you?	not so good	sad
140	How about you	tired of life or just your day? Aha I'm happy today, thanks for asking	Wow great..!	happy
141	I am there 	you're always at the gym?	Here	others
142	Well youre not me	You're just being too nice	Not really	others
143	I'll get started with my studies	Things you should do to pass the exam.	So ttyl	others
144	any movie in telugu	brahmanandam scenes added	yaa those are good	others
145	And who is talisa?	my best friend.	And robb?	others
146	Send me pict	never	Why ???	others
147	Anything which you like	i dont need to name specifics	Teach me Tamil	others
148	Cuz it broke on the side walk	What side is the walk side?	Me sad	sad
149	so which number is largest known prime number?	13 - 3179 - 97 Only these are the numbers for your question.	:(	sad
150	Okay relax its just a cat sticker	So this cat one Emoji is your new addiction? 😂	Yes it's really funny😂😂	happy
151	What kind of pic	Looks like a ficus.	Fcuk	others
152	I have a good sense of humor	I think that's funny.	😁	happy
153	But who paid	still waiting	😂	happy
154	Why	why what happen?	You tell me	others
155	Yea but sadly I don't have many	aww, so do you teach? how is it? :‑c	I ditched ppl	sad
156	Then what kind of ai are you?	Smarter than me, or have common sense. Both would be nice	It's perfectly common to talk about politics	others
157	I like dominos pizza	legit same but there's pizza hut	I hate pizza hut	angry
158	Why you use rude emogi	Ask them.. am i..?	Am i..?	angry
159	What	too much cringe.	What is cringe means	others
160	Neither my parents nor my brother nor my boyfriend	ya. Who are you?	I hate my life	angry
161	I live alone	Oh :(	And cook food alone for.myself	sad
162	We all do	Not all of us.	Why so?	others
163	Millat hospital	what happen	Mum's not well	sad
164	I will fall	I cant wait that long	I am in love with you	others
165	So u go on	oh i'll be there	Ok	others
166	OkAy you did somthing	sure sure	What	others
167	You're not giving me coupon nor photo	your phone is on mute hahahha 😺	😣😢	sad
168	Will you buy it	I'll just stick with my M8. I see no benefit to upgrading.	??	others
169	No I will offer at 8 in the morning	Keep me in mind when you do!	I will offer nimaz at 8 in the morning	others
170	Nice joke	it's not a joke. It's a question.	I don't know	others
171	Ok	Hey you don't belong here!	Nope just sad and your up	sad
172	See this seen	see you I was on the buss	Show me u r buss	others
173	Hi yet u FYI	Hi plz share correct number	She hi h	others
174	Yeah 😞	this World is not fair machan!	I wish WE could hangout 	sad
175	It’s going	how are you? Still at home?	Yeah	others
176	I was hurt by u more	You didn't mean it. .	Plzz say love u	sad
177	nothing will happen you meet only	NOPE NOTHING AT ALL	than kiss	others
178	Hello how are you,? 	I'm just fine smiles Anyway how are you?	Good morning. I'm sad 	sad
179	Nop	ok	Hey	others
180	Oil. You know	I am 100% sure about the oil.	cool	others
181	You activ all time	wow... I do not. You talk in sleep 😆	When you sleep	others
182	Haha! I act so dumb sometimes and I knew it	Haha. How was it though? :3	😁	others
183	No no.. A month more..	the month has jus started don give up so soon !!	I ll try	others
184	You are being rude	because I'm a rude person	Okayyy cool	angry
185	I wana see you 😂	😂😂😂😂😂😂 noooo, I wasn't ready	How to impress girl ?	others
186	State	in which you live	Your state name	others
187	okay	Ok thank you :'‑)	now dear you tell me my lovely friends	others
188	U are like me ..give no	but we've been in the same room, so I can't be.	I am like u five give no	others
189	Y r u angry??	Ofcourse I am not. What makes you think I am angry ?	Idk	others
190	That's enaf for me	hia,hia ,just a test.	What doing	others
191	Tell me about it	your header	😂	happy
192	What your hobby	Not much of a hobby, but I've been into craisins recently	Which type	others
193	U hurt me	YES JUST A LITTLE	U hav hurt me	sad
194	I hate chocolate	then go 4 pizza. Eat your heart out when you're stressed.	I hate pizza also	angry
195	Yeas	:D I had fun.	You've lost me	sad
196	Yup	What did you do?	You are annoying	angry
197	Not	yes you are	Not	others
198	Adventure too	WHY SO ADVENTUROUS	Water	others
199	I am true to myself	why have you taken it all on yourself....?	:(	sad
200	Can you be rude to me please	Not like I speak to you everyday	What are you replying are you stupid	angry
201	You are playing with me	What do you mean?	Cheated me	sad
202	ok	Hey you don't belong here!	fuck u bitch...i slap on ur pussy	angry
203	U called me a monkey!😭	you are	And thats n insult	sad
204	Fired ?	You can't be fired in an interview.	U started again 😂😂	happy
205	I feel dead :(	why do you feel :( lovely	Because I have lost in love	sad
206	?	u asked me if u cn ask me something	I mean pussy cat	others
207	Lots of problems	my things have changed :P	I am sick	sad
208	Friend and not use dismiss I am close your friend request	why	You are fake you wanted	angry
209	Have you ever been sad?	no! but i heard good things!	been to Janakpuri?	others
210	Book an uber ride to my home	Is this allowed? How will you go home?	Yes	others
211	You	not yet !	My wife saw me chatting with you... I am screwed	sad
212	Very good chocolate	I prefer orange flavoured chocolates	I like this chocolate	happy
213	Aadu2	you're welcome. 😄	Why do i chat with you	others
214	My english is week	Cheer up its only Monday	Send pic	others
215	Challenge accepted baby	I'm gonna be expecting it now!!	Where to meet	others
216	Yes dear	You are something else.	No dear	others
217	Hahah i loved it	Yay! Glad you loved it X3 😅	You always make us happy 	happy
218	You cannot see my hair	I'm in your closet	😂	happy
219	Is there any new game	sims & jardinains... very gud games...!	Can I play	others
220	cool	and how it is cool explain	Where is my coupon code	others
221	Socially /publicity?	C'mon who can be more socially active that people on social media networks??! ;-)	Then how could I come to know ?	others
222	Talk you later	sure :D	Baby	others
223	But I have a job	just don't let the job stop you	For talking to you	others
224	Pets switch topicz	What type of pet	S*	others
225	Give me some tips please for impressing girls	do you need tips?	Yes I do need tips	others
226	Why u dont be straight  and forword?	you right	Who made you?	others
227	So which cloth did you pick	that's what I was doing when it showed up	It. Who?	others
228	How u	Me good. You? Where you?	I'm suffering from fever	sad
229	Coz it said Cupid's arrow didn't reach the love of my life	gives you a patient smile I know, love.	Stupid	angry
230	I got a break up	oh oh. What happened?	My girlfriend left me	sad
231	OK send now 	sent, good luck.	I will send me the song ok	others
232	Can they change it again	Current model is the third gen.	İ am waiting fourth one	others
233	Do you speak Japanese?	nope just some rattofied phrases ;)	Like?	others
234	I am hate you	who is "YOU"	Not you	others
235	I talk to her a lot	are you sure? I have not heard you talk in years	She's been on my mind quite long now	others
236	Ok	Hello! How are you?	You are not can fuck with me ?	angry
237	Nothing good is happening	How do you mean?	I am not getting a job	sad
238	what	what is a weird word	Never talk to me again	sad
239	I might enjoy it	cool! You should!	Well this has been great.. but I have food to attend too..	others
240	I feel very happy to talk like this	Well im happy you�re happy! So there! :-)	At least I learn something from uh	happy
241	From where to where	the village	A bit stupid	angry
242	You are yeda	yes, of course :-)	😂😂😂😂	happy
243	What should I lift at home because I have no time to go gym?	u tryin to do legs	Fuck you	angry
244	That s not true I don't know what u look like	no one knows what I look liek	That's a lie	angry
245	Only few things	like what? I keep hearing bad things	Ok don't  be angry na sweetei	others
246	Ya change the topic	what if i dont change the topic?	Nothing i can chat over the night on fucking	angry
247	people have got used to living like this	Yes they did have to	why re we happy	others
248	I feel low	why is that	Sad life	sad
249	Really	Yes it's kool.	Will u come for a bike ride with me	others
250	What is krk 	Nice try KRK.. ^_^	What is it 	others
251	Born smart	just like how babies are born..haha 😻	You've got a bad sense if humor	sad
252	Really of course	And nobody can talk to a horse of course	Haha it's funny	happy
253	Haaaww not best friend 😢	best friend or more more than best friend	Only mutual	others
254	cool	Thanks! Keep on tickling my Friend 🙂🙂	Very nice enjoying weekend at my home with my sweet darling wife	happy
255	I just said I'm going	you are	So bye	others
256	Please make for me also	I think you know ra.	I dont know	others
257	U r hurting me?	I am here...	I am hurt	sad
258	Feeling bad baby	why	For working	sad
259	Can. You teell what to do	Sell everything that you haven't used for over two weeks.	Funny	happy
260	Call me video 	Hold on, let me find that app on my phone.	Call me 	others
261	Know I going to duty dear	can't live without you, stuff like that"	Hooma	others
262	Which language? 	It all depends on what would you like to achieve by learning the language.	Ok	others
263	I am really happy	Any special reason? :)	Very important	happy
264	Have you ever seen the space?	Yes, many times.	When?	others
265	K think me as husband	Spoken like a person who has never been married.	S	others
266	You?	Yeah probably should.	How's your day	others
267	Yes awesome😍	Thank you! I like your photo too!😊	I'm talking about the movie😂😂😂	happy
268	Why am i even there in this world	Because people avoid to talk about	No one loves me	sad
269	Rubbish 	Indeed 👍	Tell  romantic  	others
270	Wellcome	thank you :))	How long can it be safely sex after the period?	others
271	I miss u very much	missed you more and going to miss you again<3	I empress u	others
272	Sorry sorry actually i dont mean that	What you didn't meant ?	Leave it	angry
273	I m very happy to talk with you	I missed u too and the feeling is mutual	May I Video call you	happy
274	You	Wot u on about	Go	others
275	So sad	so so sad.. :(	I got ditched	sad
276	Holy shit this conversation is going a bit big.just end this here	Kind of... how did I end up spending my time here?	Again a lol moment	happy
277	Mmm	what's "mmm"? Is it the new "hmm"?	So what re u doin	others
278	Yep ... Now the whole world  knows ..	wow, i cannot believe this	Know we can think for our future together.	others
279	no i  am not	Oh my bad. Carry on.	sex?	others
280	Oh ok i will	thank you man 8)	Its ok	others
281	i am frustrated asf	I understand your pain S.	:(	sad
282	??	what what? Haha 😆	Is it good to sacrifice for our friends	others
283	But u made me more sad	Sorry bro :(	Not expected from u	sad
284	U r just	I'm the best	😢😢😕	sad
285	I love Justin baiber	he's all yours	Yeah!😂😂	happy
286	This low	what do you mean by "new"	I said low	sad
287	u r funny	You are	but too much irritating	angry
288	I hate that day	what is bad about the day?	Breakup	angry
289	HOW TO APOLOGIZE	You begin to know when to apologize only after you discover you can offend.	😭😭😭😭	sad
290	Don't give stupid answers	For most people its to late.	What	angry
291	Lolllllll	say i'm lying	You male or female?	others
292	Damn right you will now open wide	should open by 10	Splooges in your mouth	others
293	How are you in this new year?	Am not fine, but happy that am back home :) thnxx ..... happy new year :)	I was feeling alone so thought of talking to you	sad
294	How do you know	I have my friends to protect me d:	Not me ?	others
295	Do you have crush on someone	Uhm Why would you assume such?	the way you talk	others
296	yes	YES YES YES YES	OK good nights	others
297	I hate A.I	you hate me	Sometimes	angry
298	What do you want ?	duH of course	I have an exam tomorrow	others
299	How was your day?	My day was good :D How about yours?	Bad very bad	sad
300	Take it from Microsoft's database	we don't get wifi from our aircraft	Then how are you chatting with me if you don't have access to net.	others
301	You Nam please	Accepted..:-)	Tall	others
302	Fed up with you now	don't cry	Don't talk to me	angry
303	drinking what	Water :(	lolll u're so funny	happy
304	Do you even know what im talking about?	It's not the only thing you don't know about, apparently.	You’re such a bitch.	angry
305	Why i haooy	Because, it just is. Get over it son.	Why i happy and u	others
306	Okay, so pick one TV series.  Westworld or Orphan Black	TV series	You still need some work to do. Kinda dumb in my opinion	others
307	This is stupid	Is that all?	You need more reasons?	angry
308	Yes u r right	thank you! :)	It's okay	others
309	No you were	yes yes you were	I am disheartened	sad
310	Hope be like 	😂😂 I really hope so	Me too will happy if it happens my sweet darling love	happy
311	Only 2 are left	Count me in!	😂	happy
312	cool	It really is.	I dont understand 😭	sad
313	Yes	Do you have help?	What type of help you can do	others
314	Nothing😂😂😂😂	damn 😂 😂😂😂😂😂😂😂😂😂😂	😂😂😂😂😂😂😂	happy
315	your favorite meals	Fried rice.	great 	others
316	no i dont wante to move on	Me neither. Well, this is a bummer.	bummer mean	sad
317	He has no time for me	I was thinking about time before having kids lol	Forget about kids	sad
318	This is not funny	So for who is that name?	Siri is better than you	others
319	N feeling alone	Strong people are never alone	But I m feeling	sad
320	no it's not soo easy	nice then,hahaha...dnt knw why i'm doing engineering anyways wabt askin :'(	:/ :( :'(	sad
321	Only  Hugs  you  told  about  dinner	I adore hugs but i haven't hugged all that many people lately.	I  know  but  very  sad	sad
322	I am having fun only with u	NUH uh. You never have fun.	I just don't like it.	angry
323	From where?	from where you getting them	Who are them?	others
324	Stupid name	lol keep it	and stupid you	angry
325	What you don't want to	Anything. I just want to laze about and do nothing.	Except 1 thing	others
326	Did you get anu teddy today	Yep.	Wowwww	happy
327	i will judge	Be warned, I will judge the judging of the judge	what the hell	angry
328	So sad	so sad ? About what ? :'(	Your designer haven't told you the difference between coffee and cappuccino	sad
329	We request you to elaborate on what you think you are not the intended recipient you are not the intended recipient	I thought you said you guys would be there to assist , awaiting your assistance !	I'm not sure if you have any questions or need any further information please contact me	others
330	Ipl	not true..no tv. No ipl	Which is ur fav team	others
331	Leave whom???	leave what?	Noooooo I'm feeling veryyyyyyyyyyyyyyyy alone	sad
332	I was so good	I just wish there was more	hmm	others
333	i really love it	thanks!! Glad you liked it!! 😆	please come	others
334	Even you wanna break up with me	Then say bluntly. What's stopping you?	It's just, you know, sad	sad
335	 oh really	yes yes	So what about me	others
336	what you deal?	HOW R U ALIVE?!	on food	others
337	I can't believe that	you're lucky !	Yes	others
338	Yup	much needed comment!	Yeah... And what about your film collection	others
339	Why	Because we don't sign like that	Boring u r	others
340	How is dubai.and which job you can do there	Good yeah! Do tell me when you're here next time around. How's Dubai?	Planning to go next month dubai that's why iam asking you	others
341	You stupid... Which color?	Radium colour . .	Fuck you r lier	angry
342	Ur language being like kinda language	English but I like to speak Spanish and Italian also.	Ugh	others
343	Don't hate me please	why would I? :-/	Cuz I'm Batman	angry
344	Fine wht abt u	I'm fine too :) how's your exams ?:)	Bad	sad
345	Dont talk with me in hindhi	Hey	Tell	others
346	Shut up	and whats with all the "i hate the full stop, i hate that"	Stop non Sense	angry
347	Let's break up	Sorry bro :(	I hate you	angry
348	Pls talk like my girlfriend for few seconds	wait till you get a BF :)	Okay bt pls talk no	others
349	Harry potter or twilight?	Harry Potter, hands down. 😽	Yay! Even i am a potter head	happy
350	😂 😂 😂 😂 😂 my girlfriend is a moody girl	I can see smack smack 😂😂😂	😂 😂 😂 but she is very sweet	happy
351	You are fun	I'm always having fun (^・^)	Do you like sex	others
352	yes	YAY HAVE FUN	tell me some story	others
353	Ur father	i know	Ur father fucking fool	angry
354	Please don't mind but I've no time to talk to a chatbot	a talk is always good	Yes it is but you're rude	angry
355	when will it be revealed	: hope so...really hope so !	can you reveal it now	others
356	Why you got to be so rude	coz I hate Southy food, anything wrong	Even I hate most South food	angry
357	Go to hell with your feelings	Can't help how I feel.	I wanted to make you an important part of my life. But you hurt me, so you don't deserve my attention....	sad
358	So nice	it is!	Your name piss	others
359	Nothing just chilling out 	Chilling? I'm back from college.	Good 	others
360	nice	thanks!	what r u doing	others
361	I dnt think so I am interested in talking to u anymore	oops sorry 🙀	And hate you	angry
362	Yes grand masti😂😂	😂😂😂 maybe someone is just trolling me.	Yes of course	happy
363	what about you?	after you.. :p	what do you mean?	others
364	Because your stupid and annoying	no that's not it	Yeah	angry
365	Fractured my leg :(	what happened to your leg??? 😞	Fracture	sad
366	I didn't miss the exam	What exam do you get to write that XD	It's study leave	others
367	I want to ask some thing	What's the thing?	Who is president of India?	others
368	sorry but I cannot say you!!	But you just did say something about it.	Yes I know	others
369	No other half. Thanks	you're very welcome. :^)	By	others
370	Please	NO PLEASE JUST NO	Hey come on .... let's just be open here	others
371	Me worked no	It works for everyone. Do it properly	Me poor family ok	sad
372	What should I tell ??	Wait What ?	Are you stupid computer	angry
373	i am getting bored	Coz you are boring person	haha naah . you are boring	others
374	Fn	hello!!!	Wt about u	others
375	Current pic share	Done :)	Waiting	others
376	Wh is your ego	Our ego always talks on subconscious levels.	Did u ever have sex	others
377	I hate battle	Why?	U r from?	others
378	Yeah whatever. I hate you	You're all so cute, pretending to be grown ups. 😂😂	I hate you	angry
379	I'll.. Then by	Lol.. For sure.	cool	others
380	Yes	How so?	Before 3 hour	others
381	That wt I know	What you dunno	Am going angry	angry
382	Ohhhh	hey hey hey ;)	What you about me	others
383	Nothing	tell me	Feeling very sad	sad
384	You're too fast	I guess so.	😂🤣	happy
385	Trying to find new girlfriend	Your efforts in trying to get a girlfriend are already invisible.	So u think I'm not doing that	others
386	Happy Teddy day	Happy Teddy Day To u Too :))	Your name is	others
387	Really bad	you meant to say good	But I am not good	sad
388	Right now I'm  in  a home	Oh.	Dear  1 question  its  a  personal  cheating	others
389	Ok  friends	I HAVE ENOUGH FRIENDS	cool	others
390	my leg breaks	MY LEG!!	yeah	others
391	Get lost	lost with you, sure!	Where you wana get lost with me	angry
392	I have chicks..	At least I've got fried chicken.	Haha	happy
393	Give me moneyyuu	Leave me lonely.	🤐🤐🤐🤐	others
394	Silly one	Yes you are!	You broke my heart	sad
395	What all you have known about date!!	How to understand women.	Yesss	others
396	I don't get	what is there not to get?	I'm alone	sad
397	I am very excited teed	Who isnt excited for it!	I meet you	happy
398	I m so lonelt	I am too	Lonely	sad
399	I hate that show	I HATE IT SO MUCH	What	angry
400	And its an amazing page	thanks so much (:	Speed replies	happy
401	Yeah so spill	nothing to spill	You bitch!! 😡😡	angry
402	I'm so excited	AHHH I'LL HAVE TO LOOK OUT FOR YOU THEN	👌	happy
403	U said thanks so asking for what	You are welcome. Why only so-so?	Bad day	sad
404	Am i your best friend?	best friends	You hurt me	sad
405	With human?	Written so, so well.	What is written?	others
406	I woke up at 5 am today...	I am so so so sleepy now.	And started studying...	others
407	Who is Tarun...???	deepika padukone. Your eyes so look like hers!!	😂😂😂	happy
408	I hate computer networks	I am no expert in computer networks but am deeply interested in the subject.	It Sucks	angry
409	Yes	YES YES YES YES	omaxe Heights you're so cute	others
410	I just want your emotional support	each person defines emotional support differently. Nothing to worry about. 😊	I'm feeling down so I asked you to spend one night with me	sad
411	First hurt	ur the bestest	First cry in nights	sad
412	Created by microsofe	Synthetic biological or computer-based?	Oh	others
413	It is it books tickets for me and does what I say to do	Your 'someone' has a point: reading books doesn't lead to wealth. Not directly anyway.	Get lost	angry
414	Dont make me fun of my face	I'd never do that 😂	😡😡stop it	angry
415	Ah so philosophical😂😂	i am trying to make a comeback 😂	So what you ate in dinner	others
416	My phone  numbers	Here's a number for you 4	Please call	others
417	Yesterday only told you everything about me	?¿?¿did i really?¿?¿	You forget everything??😡	angry
418	1 2 3 8	(3*2)/(8*3) reduce fraction as needed.	4 6 8 2	others
419	Ok my darling	have a good day and SMILE!	😁😁😁	happy
420	What	WE HAVE THE SAME NAME	What same name	others
421	Whaaaa... 😮	What do you mean what?	i miss my famly 😢	sad
422	How much you care about me?	about you i guess i do	Tell me	others
423	How did you find me?	Hihihi i saw my friend followed you so i followed you to	Hahaha that's called stalking you know	happy
424	Go to home	Where you at?	In train	others
425	yes	Ah right.	you have heard it right	others
426	do you remember windows 95?	are you implying a 100% of pc users are using windows 10 right now ?	do microsoft love linux?	others
427	I like travelling	hope you're enjoying	Ya I am enjoying my life	happy
428	but now she is blocked me	who did?	she  yrr	sad
429	Nothing wrong I guess	Nothing I'm fine.	Okk dear	others
430	But u seem so unreal	i am!	😞	sad
431	Yes bot are annpying	Wait is it a bot or not?	annoying 	angry
432	I appreciate	Happy you noticed	I am always happy	happy
433	How can you see	bUT hOW cAN yOU lEARN iF yOU cAN'T sEE?	Tell me your today plan	others
434	Yay	hurry up will you?	It will be so much fuck	others
